id,facility,type,website,address,city,state,longitude,latitude,employ,year,txt,short_txt
11,Sandia National Laboratories,Lab,www.sandia.gov,7011 East Avenue,Livermore,California,-121.7211155,37.6798239,15495,1954,"sed sem egestas blandit. Nam nulla magna, malesuada vel, convallis in, cursus et, eros. Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget","vitae odio sagittis semper. Nam tempor diam dictum sapien. Aenean massa."
12,Sandia National Laboratories,Lab,www.sandia.gov,1515 Eubank Blvd SE,Albuquerque,New Mexico,-106.534688,35.060599,9358,1907,"tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas blandit. Nam nulla magna, malesuada vel, convallis in, cursus et, eros. Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus pede et risus. Quisque libero lacus","consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna"
13,Idaho National Laboratory,Lab,www.inlportal.inl.gov,2525 Fremont Avenue,Idaho Falls,Idaho,-112.0456941,43.5171912,18677,1959,"ac libero nec ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus. Morbi metus. Vivamus euismod urna. Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis","risus. In mi pede, nonummy ut, molestie in, tempus eu, ligula. Aenean euismod"
14,Lawrence Livermore National Laboratory,Lab,www.llnl.gov,7000 East Avenue,Livermore,California,-121.7211155,37.6798239,11096,1920,"magna. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Etiam laoreet, libero et tristique pellentesque, tellus sem mollis dui, in sodales elit erat vitae risus. Duis a mi fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum risus, at fringilla","In ornare sagittis felis. Donec tempor, est ac mattis semper, dui lectus"
15,National Renewable Energy Laboratory,Lab,www.nrel.gov,1617 Cole Blvd.,Golden,Colorado,-105.151784,39.744418,8524,2001,"Morbi accumsan laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi sem semper erat, in consectetuer ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis","odio, auctor vitae, aliquet nec, imperdiet nec, leo. Morbi neque"
16,Savannah River National Laboratory,Lab,srnl.doe.gov,Savannah River National Laboratory,Aiken,South Carolina,-81.722859,33.525798,15099,2004,"mi felis, adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse non leo. Vivamus nibh dolor, nonummy ac, feugiat non, lobortis quis, pede. Suspendisse dui. Fusce diam nunc, ullamcorper eu, euismod ac, fermentum vel, mauris. Integer sem elit, pharetra ut, pharetra sed, hendrerit a, arcu. Sed et libero. Proin","est, congue a, aliquet vel, vulputate eu, odio. Phasellus at augue id"
17,National Energy Technology Laboratory,Lab,www.netl.doe.gov,3610 Collins Ferry Road,Morgantown,West Virginia,-79.9770211,39.6646947,16167,1923,"lectus. Nullam suscipit, est ac facilisis facilisis, magna tellus faucibus leo, in lobortis tellus justo sit amet nulla. Donec non justo. Proin non massa non ante bibendum ullamcorper. Duis cursus, diam at pretium aliquet, metus urna convallis erat, eget tincidunt dui augue eu tellus. Phasellus elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id sapien. Cras dolor dolor,","quis diam. Pellentesque habitant morbi tristique senectus et netus et malesuada"
18,National Energy Technology Laboratory,Lab,www.netl.doe.gov,626 Cochrans Mill Road,Pittsburgh,Pennsylvania,-79.985953,40.326042,8394,1943,"quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas blandit. Nam nulla magna, malesuada vel, convallis in, cursus et, eros. Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla","malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris"
19,Los Alamos National Laboratory,Lab,www.lanl.gov,Los Alamos National Laboratory,Los Alamos,New Mexico,-106.334031,35.900731,10671,1906,"posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget, dictum placerat, augue. Sed molestie. Sed id risus quis diam luctus lobortis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu. Nunc mauris. Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie","pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc ullamcorper, velit in aliquet"
32,New Brunswick Laboratory,Lab,www.nbl.doe.gov,9800 South Cass Avenue,Argonne,Illinois,-88.011501,41.677143,9206,1918,"Donec non justo. Proin non massa non ante bibendum ullamcorper. Duis cursus, diam at pretium aliquet, metus urna convallis erat, eget tincidunt dui augue eu tellus. Phasellus elit pede, malesuada vel,","sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam"
33,Radiological and Environmental Sciences Laboratory,Lab,http://www.inl.gov/resl/,,Idaho Falls,Idaho,-112.044349,43.4930789,4615,1903,"taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu. Nunc mauris. Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo eu arcu. Morbi sit amet","ipsum. Suspendisse non leo. Vivamus nibh dolor, nonummy ac, feugiat non, lobortis quis"
41,National Energy Technology Laboratory,Lab,www.netl.doe.gov,1450 Queen Avenue SW,Albany,Oregon,-123.1201199,44.62342861,4813,1930,"non ante bibendum ullamcorper. Duis cursus, diam at pretium aliquet, metus urna convallis erat, eget tincidunt dui augue eu tellus. Phasellus elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id sapien. Cras dolor dolor, tempus non, lacinia at, iaculis quis, pede. Praesent eu", "blandit mattis. Cras eget nisi dictum augue malesuada malesuada. Integer id magna"
